Data,Valor,Identificador,Descrição
01/07/2026,-88.01,DEMO-202607-0033,SUPERMERCADO RISSUL
01/07/2026,-98.85,DEMO-202607-0011,POSTO IPIRANGA COMBUSTIVEL
03/07/2026,-94.72,DEMO-202607-0030,BAR MAJESTIC
03/07/2026,-237.98,DEMO-202607-0015,SUPERMERCADO RISSUL
03/07/2026,-52.1,DEMO-202607-0014,LOJA DE ROUPAS CENTRO
04/07/2026,-150.25,DEMO-202607-0024,PIZZARIA BELLA
05/07/2026,4600.0,DEMO-202607-0001,PIX RECEBIDO RANDSTAD SERVICOS
05/07/2026,-551.53,DEMO-202607-0017,FATURA CARTAO
06/07/2026,-491.55,DEMO-202607-0026,FATURA CARTAO
07/07/2026,-1032.07,DEMO-202607-0019,FATURA CARTAO
07/07/2026,-21.78,DEMO-202607-0037,UBER TRIP
07/07/2026,-1300.0,DEMO-202607-0004,APLICAÇÃO INVESTIMENTO
07/07/2026,-25.42,DEMO-202607-0006,POSTO IPIRANGA CONVENIENCIA
08/07/2026,-63.57,DEMO-202607-0010,BAR MAJESTIC
08/07/2026,-30.71,DEMO-202607-0018,POSTO IPIRANGA CONVENIENCIA
12/07/2026,120.0,DEMO-202607-0002,PIX GUILHERME ZANINI DA SILVA
13/07/2026,-551.14,DEMO-202607-0032,FATURA CARTAO
13/07/2026,-225.0,DEMO-202607-0008,POSTO IPIRANGA COMBUSTIVEL
14/07/2026,-87.33,DEMO-202607-0020,BOURBON SUPERMERCADO
15/07/2026,-103.52,DEMO-202607-0021,PIZZARIA BELLA
15/07/2026,-141.46,DEMO-202607-0009,LOJA DE ROUPAS CENTRO
16/07/2026,-118.73,DEMO-202607-0031,POSTO IPIRANGA COMBUSTIVEL
16/07/2026,-80.61,DEMO-202607-0036,BAR MAJESTIC
18/07/2026,-123.65,DEMO-202607-0025,POSTO IPIRANGA COMBUSTIVEL
18/07/2026,310.0,DEMO-202607-0003,PIX RECEITA FEDERAL RESTITUICAO
19/07/2026,-29.94,DEMO-202607-0012,POSTO IPIRANGA CONVENIENCIA
21/07/2026,-197.79,DEMO-202607-0022,SUPERMERCADO RISSUL
21/07/2026,-34.93,DEMO-202607-0029,BAR MAJESTIC
21/07/2026,250.0,DEMO-202607-0005,RESGATE INVESTIMENTO
22/07/2026,-46.28,DEMO-202607-0016,BAR MAJESTIC
23/07/2026,-88.18,DEMO-202607-0007,BAR MAJESTIC
23/07/2026,-87.8,DEMO-202607-0013,POSTO IPIRANGA COMBUSTIVEL
23/07/2026,-609.05,DEMO-202607-0035,FATURA CARTAO
24/07/2026,-78.65,DEMO-202607-0023,BOURBON SUPERMERCADO
26/07/2026,-40.06,DEMO-202607-0034,PANVEL FARMACIA
28/07/2026,-83.67,DEMO-202607-0027,IFOOD RESTAURANTE
28/07/2026,-170.11,DEMO-202607-0028,BOURBON SUPERMERCADO
