Data,Valor,Identificador,Descrição
02/08/2026,-184.84,DEMO-202608-0004,SUPERMERCADO RISSUL
02/08/2026,-165.78,DEMO-202608-0010,POSTO IPIRANGA COMBUSTIVEL
03/08/2026,-231.36,DEMO-202608-0007,BOURBON SUPERMERCADO
03/08/2026,-46.92,DEMO-202608-0020,UBER TRIP
03/08/2026,-37.69,DEMO-202608-0018,POSTO IPIRANGA CONVENIENCIA
04/08/2026,-20.84,DEMO-202608-0027,IFOOD RESTAURANTE
05/08/2026,4600.0,DEMO-202608-0001,PIX RECEBIDO RANDSTAD SERVICOS
05/08/2026,-249.46,DEMO-202608-0026,BOURBON SUPERMERCADO
06/08/2026,-131.86,DEMO-202608-0021,POSTO IPIRANGA COMBUSTIVEL
09/08/2026,-38.04,DEMO-202608-0031,IFOOD RESTAURANTE
09/08/2026,-36.89,DEMO-202608-0019,BAR MAJESTIC
09/08/2026,-35.46,DEMO-202608-0034,UBER TRIP
10/08/2026,-36.79,DEMO-202608-0015,UBER TRIP
10/08/2026,230.0,DEMO-202608-0002,PIX MARGARETE MENSALIDADE
10/08/2026,-32.99,DEMO-202608-0028,BAR MAJESTIC
11/08/2026,-17.69,DEMO-202608-0033,IFOOD RESTAURANTE
11/08/2026,-15.07,DEMO-202608-0029,POSTO IPIRANGA CONVENIENCIA
11/08/2026,-25.28,DEMO-202608-0012,POSTO IPIRANGA CONVENIENCIA
13/08/2026,-34.83,DEMO-202608-0014,PIZZARIA BELLA
14/08/2026,-62.57,DEMO-202608-0032,SUPERMERCADO RISSUL
17/08/2026,-33.13,DEMO-202608-0006,BAR MAJESTIC
17/08/2026,-154.3,DEMO-202608-0005,SUPERMERCADO RISSUL
18/08/2026,-153.37,DEMO-202608-0003,SUPERMERCADO RISSUL
19/08/2026,-137.41,DEMO-202608-0009,POSTO IPIRANGA COMBUSTIVEL
20/08/2026,-57.36,DEMO-202608-0017,BOURBON SUPERMERCADO
22/08/2026,-11.36,DEMO-202608-0011,POSTO IPIRANGA CONVENIENCIA
22/08/2026,-102.65,DEMO-202608-0024,LOJA DE ROUPAS CENTRO
22/08/2026,-42.71,DEMO-202608-0025,BAR MAJESTIC
23/08/2026,-24.76,DEMO-202608-0013,IFOOD RESTAURANTE
23/08/2026,-877.78,DEMO-202608-0022,FATURA CARTAO
25/08/2026,-528.42,DEMO-202608-0016,FATURA CARTAO
26/08/2026,-42.72,DEMO-202608-0023,IFOOD RESTAURANTE
28/08/2026,-183.37,DEMO-202608-0030,POSTO IPIRANGA COMBUSTIVEL
28/08/2026,-10.96,DEMO-202608-0008,POSTO IPIRANGA CONVENIENCIA
