Data,Valor,Identificador,Descrição
03/06/2026,-40.3,DEMO-202606-0031,POSTO IPIRANGA CONVENIENCIA
03/06/2026,-33.91,DEMO-202606-0011,UBER TRIP
04/06/2026,-76.53,DEMO-202606-0028,PIZZARIA BELLA
04/06/2026,-33.83,DEMO-202606-0023,UBER TRIP
04/06/2026,-170.85,DEMO-202606-0017,SUPERMERCADO RISSUL
05/06/2026,-70.67,DEMO-202606-0025,BAR MAJESTIC
05/06/2026,-82.44,DEMO-202606-0033,BAR MAJESTIC
05/06/2026,-204.3,DEMO-202606-0012,SUPERMERCADO RISSUL
05/06/2026,4400.0,DEMO-202606-0001,PIX RECEBIDO RANDSTAD SERVICOS
05/06/2026,-457.15,DEMO-202606-0007,FATURA CARTAO
06/06/2026,-115.17,DEMO-202606-0020,BOURBON SUPERMERCADO
07/06/2026,-1100.0,DEMO-202606-0003,APLICAÇÃO INVESTIMENTO
08/06/2026,-41.76,DEMO-202606-0030,IFOOD RESTAURANTE
08/06/2026,-22.78,DEMO-202606-0010,POSTO IPIRANGA CONVENIENCIA
11/06/2026,-78.8,DEMO-202606-0019,IFOOD RESTAURANTE
12/06/2026,85.0,DEMO-202606-0002,PIX GABRIEL MARQUES BERTO
13/06/2026,-60.94,DEMO-202606-0014,PANVEL FARMACIA
14/06/2026,-77.29,DEMO-202606-0009,IFOOD RESTAURANTE
15/06/2026,-60.9,DEMO-202606-0015,PANVEL FARMACIA
16/06/2026,-53.07,DEMO-202606-0005,PIZZARIA BELLA
18/06/2026,-99.81,DEMO-202606-0026,PIZZARIA BELLA
18/06/2026,-214.1,DEMO-202606-0008,POSTO IPIRANGA COMBUSTIVEL
18/06/2026,-43.86,DEMO-202606-0016,BAR MAJESTIC
18/06/2026,-106.54,DEMO-202606-0034,LOJA DE ROUPAS CENTRO
19/06/2026,-244.36,DEMO-202606-0004,POSTO IPIRANGA COMBUSTIVEL
20/06/2026,-93.89,DEMO-202606-0027,BAR MAJESTIC
21/06/2026,-81.78,DEMO-202606-0024,LOJA DE ROUPAS CENTRO
21/06/2026,-81.7,DEMO-202606-0006,PANVEL FARMACIA
22/06/2026,-62.4,DEMO-202606-0013,LOJA DE ROUPAS CENTRO
24/06/2026,-352.43,DEMO-202606-0021,FATURA CARTAO
25/06/2026,-962.02,DEMO-202606-0032,FATURA CARTAO
25/06/2026,-163.87,DEMO-202606-0018,LOJA DE ROUPAS CENTRO
25/06/2026,-93.03,DEMO-202606-0022,IFOOD RESTAURANTE
27/06/2026,-109.69,DEMO-202606-0029,PIZZARIA BELLA
28/06/2026,-23.4,DEMO-202606-0035,UBER TRIP
